"","Role","Age","Gender","Race_Eth","School","SQI1","SQI2","SQI3","SQI4","SQI5","SQI6","SQI7","SQI8","SQI9","SQI10","SQI11","SQI12","SQI13","SQI14","SQI15","SQI16","SQI17","SQI18","SQI19","SQI20","SQI21","SQI22","SQI23","SQI24","SQI25","SQI26","SQI27","SQI28","SQI29","SQI30","SQI31","SQI32","SQI33","SQI34","SQI35","SQI36","SQI37","SQI38","SQI39","SQI40","SQI41","SQI42","SQI43","SQI44","SQI45","SQI46","SQI47","SQI48","SQI49","SQI50","SQI51","SQI52","SQI53","SQI54","LEA","State","County","IU","Q166","Q161","Q162","Q163","Q164","ProfessionalRole","Q67","Q68","Q653_1","Q653_2","Q653_3","Q654_1","Q654_2","Q654_3","Q668_1","Q668_2","Q668_3","Q669_1","Q669_2","Q669_3","Q677_1","Q677_2","Q677_3","Q678_1","Q678_2","Q678_3","Q688_1","Q688_2","Q688_3","Q689_1","Q689_2","Q689_3","Q699_1","Q699_2","Q699_3","Q700_1","Q700_2","Q700_3","Q714_1","Q714_2","Q714_3","Q715_1","Q715_2","Q715_3","Q728_1","Q728_2","Q728_3","Q729_1","Q729_2","Q729_3","Q748_1","Q748_2","Q748_3","Q749_1","Q749_2","Q749_3","Q759_1","Q759_2","Q759_3","Q760_1","Q760_2","Q760_3"
"11","I'm a Young Person",17,"Male","Black or African American","William Allen High School",3,3,3,4,4,3,3,4,3,3,3,4,3,3,3,2,1,2,4,4,4,3,3,3,3,4,3,2,2,2,3,2,2,2,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","I'm a Young Person",15,"Female","Bi-Racial","William Allen High School",2,1,2,3,3,2,4,2,3,3,2,3,3,1,1,1,2,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,3,4,1,3,1,4,4,4,4,4,4,4,1,3,4,4,4,1,4,2,1,1,4,1,1,4,1,4,1,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)","I want to share about one young person","18","Female","White","Graduated or No Longer in High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,2,3,3,2,3,3,3,3,2,3,2,2,3,3,2,2,3,3,3,2,4,3,2,2,2,2,3,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)","I want to share about one young person","17","Male","Hispanic, Latino or Spanish origin","William Allen High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","I'm a Parent / Legal Guardian",NA,NA,NA,NA,3,3,2,3,3,4,3,3,2,2,2,3,2,3,4,2,2,2,3,3,3,2,2,3,2,3,2,3,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)","I want to share about one young person","15","I prefer not to answer","White","William Allen High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,2,2,2,4,4,3,3,4,2,2,2,4,3,3,3,2,4,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)","I want to share about one young person","14","Female","Hispanic, Latino or Spanish origin","South Mountain Middle School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","I'm a Parent / Legal Guardian",NA,NA,NA,NA,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,2,2,2,3,2,2,2,2,1,1,1,1,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)","I want to share about one young person","16","Male","Black or African American","William Allen High School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,3,4,4,3,4,3,3,4,2,4,3,4,4,3,3,2,2,3,2,4,4,4,3,4,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Transition Coordinator / Specialist","14 to 21","Building 21 High School,Louis E. Dieruff High School,William Allen High School,Virtual Campus,William Penn Alternative School",4,3,4,5,4,4,3,3,3,4,5,2,3,3,3,4,5,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4
"19","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,1,4,4,4,4,3,3,3,4,4,2,2,3,4,2,3,4,3,4,3,4,4,3,4,1,2,3,4,1,3,2,3,1,3,3,3,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","Building 21 High School",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"20","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,3,2,3,3,3,3,3,3,4,3,4,2,2,3,4,4,4,4,4,4,2,1,1,1,3,4,4,3,4,4,3,3,1,1,1,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"School Counselor","14 to 21","Louis E. Dieruff High School,William Allen High School",4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,5,4,4,4,4,4,4,4,5,4,4,3,4,3,5,4,4,3,5,5,5,4,4,3,5,5,5,5,5,4,2,2,2,2,2,2
"21","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,4,3,3,2,3,4,3,3,3,2,3,4,3,3,3,2,4,4,3,3,3,2,4,4,4,3,3,2,4,4,3,3,3,2,4,4,3,3,3,2,4,4,4,3,4,3,3,3,3,3,2,2
"22","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,4,3,3,3,3,3,2,4,4,3,3,3,3,2,2,3,3,3,4,3,3,3,3,3,2,2,4,3,2,2,3,2,2,2,3,2,4,3,3,2,3,3,3,3,3,3,3,2,2,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Transition Coordinator / Specialist","14 to 21","Louis E. Dieruff High School,William Allen High School,Other, Please Describe",4,4,3,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,2,2,3,2,4,3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,4,3,3,4,3,3
"23","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,2,3,3,2,2,2,4,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,3,3,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
"24","I'm a Transition Stakeholder",NA,NA,NA,NA,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,4,3,2,3,4,3,1,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,4,5,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,3
"25","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,4,3,4,3,4,4,3,4,3,4,4,4,3,2,2,3,3,3,4,3,3,2,3,3,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",5,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3
"26","I'm a Transition Stakeholder",NA,NA,NA,NA,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,2,3,4,4,4,4,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,4,2,4,4,4,3,3,3,4,3,3,3,3,2,2,4,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,4,4,4,4,5,4,5,5,4,4,5,4,5,5,4,3,5,4,4,5,4,3,4,4,4,5,4,4,3,3,3,5,4,3,4,4,4,5,4,4,5,4,4,5,4,4,3,3,3,3,3,3
"27","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"28","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,2,3,4,4,3,3,4,3,2,2,3,3,3,3,2,2,2,2,2,2,2,2,4,3,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,3,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3
"29","I'm a Transition Stakeholder",NA,NA,NA,NA,4,2,4,4,4,4,3,3,4,3,4,4,4,3,4,4,3,2,4,4,4,4,3,2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",5,4,4,5,5,5,4,4,4,4,5,5,4,4,4,5,5,5,3,3,3,3,4,4,4,3,4,4,4,4,3,3,3,4,5,5,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,5,4,4
"30","I'm a Transition Stakeholder",NA,NA,NA,NA,4,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",3,3,3,3,4,5,3,4,4,3,4,5,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,4,4,5,3,3,5,4,4,4,4,4,4,3,3,3,3,3,3
"31","I'm a Transition Stakeholder",NA,NA,NA,NA,4,3,3,4,4,3,3,4,4,3,4,3,4,3,3,3,2,2,3,3,4,3,3,3,2,3,3,2,3,3,3,2,3,3,2,2,2,3,2,3,4,3,3,3,3,3,3,3,3,2,2,2,3,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,3,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1
"32","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"33","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"34","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,2,2,2,2,2,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"35","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",3,3,3,2,3,4,3,3,3,4,4,3,3,3,3,4,4,3,2,2,3,3,3,2,4,4,4,3,4,3,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"36","I'm a Transition Stakeholder",NA,NA,NA,NA,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,2,2,3,3,3,3,3,3,2,4,3,2,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,3,4,4,1,1,3,3,3,3,"Allentown","Pennsylvania","Lehigh","Carbon Lehigh (IU 21)",NA,NA,NA,NA,NA,"Special Education Teacher","14 to 21","William Allen High School",5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
